character,top sccs
一,一亠龶冖屵十辷龷謍亗
丁,丁丅下了亅丨工矿孒兀
丂,丂丏亐亙弓行丐石戸芞
七,七弋乇毛士十戈乜节毟
丄,丄上丨亅土士业工止圡
丅,丅丁下工丨亅了卞亦甿
丆,丆龵才太厷之耂大尢宀
万,万方芀刄奵乃力宛刅办
丈,丈艾文支芆卖交奭女荬
三,三亖童宣亘章寠重黨婁
